species,FAD,LAD
Achillobator_giganticus,100,83.6
Adasaurus_mongoliensis,72.1,66
Allosaurus_fragilis,157,145
Alvarezsaurus_calvoi,86.3,83.6
Alxasaurus_elesitaiensis,126,113
Anchiornis_huxleyi,168,152
Anserimimus_planinychus,72.1,66
Archaeopteryx_lithographica,152,145
Archaeornithomimus_asiaticus,93.9,83.6
Atrociraptor_marshalli,83.6,66
Avimimus_portentosus,83.6,66
Bambiraptor_feinbergi,86.3,72.1
Beipiaosaurus_inexpectus,131,113
Buitreraptor_gonzalezorum,100,93.9
Byronosaurus_jaffei,83.6,66
Caudipteryx,131,126
Chirostenotes_pergracilis,83.6,72.1
Citipati_osmolskae,83.6,66
Coelurus_fragilis,157,145
Compsognathus_longipes,152,145
Conchoraptor_gracilis,83.6,72.1
Confuciusornis_sanctus,131,126
Deinocheirus_mirificus,72.1,66
Deinonychus_antirrhopus,126,100
Dilong_paradoxus,131,126
Dromaeosaurus_albertensis,145,66
Elmisaurus_rarus,83.6,66
Eotyrannus_lengi,134,126
Epidendrosaurus_ningchengensis,166,157
Epidexipteryx_ningchengensis,166,157
Erliansaurus_bellamanus,93.9,83.6
Erlikosaurus_andrewsi,100,83.6
Falcarius_utahensis,131,126
Gallimimus_bullatus,83.6,66
Garudimimus_brevipes,100,83.6
Gorgosaurus_libratus,83.6,72.1
Hagryphus_giganteus,83.6,72.1
Haplocherius,164,157
Harpymimus_okladnikovi,113,100
Heyuannia_huangi,72.1,66
Huaxiagnathus_orientalis,131,126
IGM100_1015_UndesDromaeosaurid,83.6,66
IGM100_42_UnnamedOviraptorid,83.6,72.1
IGM100_44_unnamedtroodontid,126,100
Incisivosaurus_gauthieri,126,113
Ingenia_yanshini,83.6,66
Jeholornis_prima,126,113
Khaan_mckennai,83.6,66
Mei_long,139,113
Microraptor_zhaoianus,126,113
Microvenator_celer,126,100
Mononykus_olecranus,72.1,66
Nanshiungosaurus_brevispinus,83.6,66
Neimongosaurus_yangi,93.9,83.6
NGMC91_UnnamedDromaeosaurid,131,113
Nothronychus_mckinleyi,93.9,89.8
Ornitholestes_hermanni,157,145
Ornithomimus_edmontonicus,83.6,66
Oviraptor_philoceratops,83.6,72.1
Patagonykus_puertai,93.9,86.3
Pelecanimimus_polyodon,131,126
Protarchaeopteryx_robusta,131,126
Protopteryx_fengningensis,131,126
Rahonavis_ostromi,72.1,66
Rinchenia_mongoliensis,72.1,66
Sapeornis_chaoyangensis,126,113
Saurornithoides_mongoliensis,83.6,72.1
Saurornitholestes_langstoni,83.6,66
Segnosaurus_galbiensis,100,83.6
Shenzhousaurus_orientalis,131,126
Shuvuuia_deserti,83.6,66
Similicaudipteryx,126,113
Sinornithoides_youngi,139,100
Sinornithosaurus_millenii,131,126
Sinosauropteryx_prima,131,126
Sinovenator_changii,126,113
Sinraptor,164,157
Struthiomimus_altus,83.6,66
Tanycolagreus_topwilsoni,157,145
Therizinosaurus_cheloniformis,72.1,66
Troodon_formosus,86.3,66
Tyrannosaurus_rex,83.6,66
Unenlagia,93.9,86.3
Utahraptor_ostrommaysi,131,126
Velociraptor_mongoliensis,89.8,66
Wellnhoferia_grandis,152,145
Xiaotingia_zhengi,168,152
Yanornis_martini,126,113
Zanabazar_junior,72.1,66
