species,FAD,LAD
Achillesaurus,86.3,83.6
Achillobator_giganticus,100,83.6
Adasaurus_mongoliensis,72.1,66
Albertonykus,72.1,67
Albertosaurus_sacrophagus,73,66
Albinykus,86.3,72.1
Alioramus,72.1,66
Allosaurus_fragilis,157,145
Alvarezsaurus_calvoi,86.3,83.6
Alxasaurus_elesitaiensis,126,100
Anas_platyrhynchus,0,0
Anchiornis_huxleyi,168,155
Anserimimus_planinychus,72.1,66
Appalachiosaurus,78,76
Apsaravis_ukhaana,83.6,72.1
Archaeopteryx_lithographi,152,148
Archaeornithomimus_asiati,83.6,66
Atrociraptor_marshalli,73.5,67.5
Aurornis,168,155
Austroraptor,83.6,66
Avimimus_portentosus,83.6,66
Balaur_bondoc,72.1,66
Bambiraptor_feinbergorum,83.6,72.1
Baptornis,89.8,72.1
Beipiaosaurus,131,124
Beishanlong,126,100
Bicentenaria,100,93.9
Bistahieversor,76,73
Bonapartenykus,83.6,66
Buitreraptor_gonzalozorum,100,97
Byronosaurus_jaffei,83.6,72.1
Cathayornis,126,120
Caudipteryx_zoui,131,124
Ceratonykus,76,70
Chauna_torquata,0,0
Chirostenotes_pergracilis,76.5,75
Citipati_osmolskae,83.6,72.1
Coelurus_fragilis,157,145
Compsognathus_longipes,154,149
Conchoraptor_gracilis,76,72.1
Concornis,128.5,126
Confuciusornis_sanctus,131,124
Crax_pauxi,0,0
Crypturellus_undulatus,0,0
Daspletosaurus,77,74
Deinonychus_antirrhopus,126,100
Dilong_paradoxus,131,124
Dromaeosaurus_albertensis,83.6,72.1
Dryptosaurus,72.1,66
EK_troodontid_IGM_100_slash_44,105,97
Enigmosaurus,100,83.6
Eosinopteryx,168,155
Eotyrannus_lengi,131,126
Epidendrosaurus,168,155
Epidexipteryx,168,155
Erliansaurus,83.6,66
Erlikosaurus_andrewsi,100,83.6
Falcarius,131,126
Gallimimus_bullatus,72.1,66
Gallus_gallus,0,0
Garudimimus_brevipes,100,83.6
Gobipteryx,76,70
Gorgosaurus_libratus,77,74
Graciliraptor_lujiatunensis,131,124
Guanlong,164,157
Haplocheirus,164,157
Harpymimus_okladnikovi,134,126
Hesperonychus_elizabethae,76.5,75
Hesperornis,89.8,72.1
Hongshanornis_longicrest,131,124
Huaxiagnathus_orientalis,131,124
Iaceornis_marshii,89.8,83.6
Ichthyornis,93.9,83.6
IGM_100_slash_1126,83.6,72.1
IGM_100_slash_1323,83.6,72.1
Incisivosaurus_gauthieri,131,124
Ingenia_yanshani,72.1,66
Jeholornis_prima,131,120
Jinfengopteryx_elegans,145,100
Jixiangornis_orientalis,131,124
Juratyrant,152,145
Juravenator_starki,154,152
Kileskus,168,166
Kinnareemimus,139,126
Liaoningornis_longidigitu,131,124
Limenavis_patagonica,75,69
Linhenykus,83.6,72.1
Lithornis,61.7,48.6
Mahakala_omnogovae,78,72.1
Mei_long,131,124
Microraptor_zhaoianus,126,120
Microvenator_celer,126,100
Mirischia,113,100
Mononykus_olecranus,72.1,66
Nanshiungosaurus_brevispinus,83.6,66
Neimongosaurus,83.6,66
Neuquenornis_volans,86.3,83.6
Neuquenraptor_plus_Unenlagia,92,87
Nothronychus,96,89.8
Nqwebasaurus,145,134
Ornitholestes_hermanni,157,145
Ornithomimus_edmonticus,76.5,66
Oviraptor_philoceratops,83.6,72.1
Parvicursor,83.6,72.1
Patagonykus_puertai,93.9,86.3
Patagopteryx_deferrariisi,86.3,83.6
Pedopenna,168,155
Pelecanimimus_polydon,128.5,126
Pengornis_houi,126,120
Proceratosaurus_bradleyi,168,166
Pyroraptor_olympius,75,69
Qiupalong,83.6,66
Rahonavis_ostromi,72.1,66
Rinchenia_mongoliensis,72.1,66
Sapeornis,131,120
Saurornithoides_mongolien,83.6,72.1
Saurornitholestes_langsto,77,72.1
Segnosaurus_galbinensis,100,83.6
Shanag_ashile,145,131
Shenzhousaurus_orientalis,131,124
Shuvuuia_deserti,83.6,72.1
Sinocalliopteryx,131,124
Sinornithoides_youngi,139,100
Sinornithomimus,93.9,89.8
Sinornithosaurus_millenii,131,124
Sinosauropteryx_prima,131,124
Sinotyrannus,126,120
Sinovenator_changii,131,124
Sinraptor_dongi,164,157
Songlingornis,126,120
Struthiomimus_altus,76.5,66
Suzhousaurus,126,100
Tanycolagreus,157,145
Tarbosaurus_baatar,72.1,66
Teratophoneus,77,74
Therizinosaurus,72.1,66
Tianyuraptor_ostromi,131,124
Troodon_formosus,76,66
Tsaagan_mangas,83.6,72.1
Tugulusaurus,139,100
Tyrannosaurus_rex,72.1,66
Utahraptor,128,120
Velociraptor_mongoliensis,83.6,72.1
Vorona,72.1,66
Xiaotingia,168,155
Xiongguanlong,126,100
Xixianykus,89.8,83.6
Xixiasaurus,89.8,83.6
Yanornis_martini,126,120
Yixianornis,126,120
Zanabazar_junior,72.1,66
Zuolong,161.4,158.4
