Genus_species,Snout_Vent,Snout_Axilla,Interlimb,Body_Width,Pelvic_Width,Pelvic_Height,Head_Width,Head_Length,Snout_Eye,Eye_Diameter,Head_Depth,Tail_Width,Arm,Upper_Arm,Lower_Arm,Hand,Leg,Upper_Leg,Lower_Leg,Foot,Neck,Pos_Skull,Pelvic_Gap,Tail_Length
Bellatorias_frerei,166.142857142857,54.1142857142857,96.6185714285714,35.2614285714286,15.8614285714286,22.1285714285714,26.0671428571429,29.9271428571429,8.79857142857143,6.73428571428571,20.8914285714286,24.2985714285714,48.83,15.6985714285714,16.0014285714286,17.13,64.01,19.6714285714286,18.9814285714286,25.3571428571429,24.1871428571429,14.3942857142857,15.41,181.333333333333
Bellatorias_major,289.5,103.99,163.75,54.345,30.58,40.585,45.5075,51.1675,16.055,11.4625,32.07,38.9775,74.18,27.035,24.5075,28.29,107.445,36.7775,34.235,43.8,52.8225,23.65,21.76,310.333333333333
Bellatorias_obiri,165.295,59.235,91.475,34.04,15.53,19.89,26.2,29.855,8.31,6.7,18.285,22.9,47.69,20.225,18.11,19.575,64.015,28.035,23.03,27.99,29.38,14.845,14.585,227.45
Corucia_zebrata,223.666666666667,75.21,133.863333333333,49.59,17.6733333333333,32.1366666666667,41.7666666666667,43.4266666666667,11.7366666666667,8.06333333333333,31.3566666666667,18.4433333333333,88.4166666666667,26.9033333333333,25.9533333333333,35.56,104.333333333333,31.7366666666667,27.53,45.0666666666667,31.7833333333333,23.6266666666667,14.5933333333333,241.666666666667
Cyclodomorphus_branchialis,68.202,21.238,42.538,8.28,4.936,4.706,7.582,12.478,3.418,2.344,6.322,4.682,12.304,5.282,4.346,5.248,15.324,6.224,5.508,6.34,8.76,6.716,4.426,56.228
Cyclodomorphus_casuarinae,141.7175,35.7575,98.865,18.255,10.0475,10.9175,13.77,20.7475,6.235,3.3975,10.665,11.0175,19.7125,7.29,6.925,8.1375,28.8,10.9975,9.7275,11.865,15.01,11.115,7.095,164.515
Cyclodomorphus_celatus,97.072,24.198,68.36,11.912,7.51,7.712,9.272,14.046,3.968,2.802,8.2,7.728,13.132,5.88,5.102,5.174,18.73,7.118,6.804,7.984,10.152,7.276,4.514,94.385
Cyclodomorphus_gerrardii,170.8075,56.9125,102.0675,25.755,13.0275,17.0675,24.4725,38.515,11.045,5.7475,19.4525,13.7775,43.4875,15.7175,14.775,13.7625,54.0675,17.6275,16.135,21,18.3975,21.7225,11.8275,152.6925
Cyclodomorphus_m.elongatus,100.064,25.732,68.994,13.202,7.633,8.048,9.795,14.099,4.113,2.538,8.256,8.805,14.568,5.742,4.937,6.174,18.335,7.219,6.306,7.903,11.633,7.448,5.338,93.28
Cyclodomorphus_m.melanops,96.44,27.7616666666667,56.8316666666667,13.5366666666667,8.085,8.52333333333333,11.5383333333333,15.3516666666667,4.04666666666667,2.88166666666667,9.025,9.29666666666667,18.5283333333333,6.48,5.60166666666667,6.44666666666667,24.0116666666667,8.30666666666667,6.69833333333333,9.00666666666667,12.41,8.42333333333333,11.8466666666667,92
Cyclodomorphus_m.siticulosus,84.925,27.565,52.975,13.955,7.825,8.1575,10.7525,15.92,4.855,2.905,8.5225,7.675,20.41,7.6725,5.9775,6.76,24.9875,8.6325,7.365,8.99,11.645,8.16,4.385,79.75
Cyclodomorphus_maximus,177.336,46.818,120.962,25.522,13.954,14.156,17.188,25.646,7.408,5.158,12.84,16.144,27.06,13.246,9.952,9.882,35.434,15.454,12.62,14.292,21.172,13.08,9.55599999999999,174.562
Cyclodomorphus_michaeli,100.996,26.476,67.342,9.464,6.888,7.432,8.842,14.29,4.474,2.784,7.842,6.076,11.34,3.696,4.364,4.926,17.838,7.002,6.222,7.914,12.186,7.032,7.178,141.776666666667
Cyclodomorphus_praealtus,81.86,24.3833333333333,54.05,10.3366666666667,5.65666666666667,6.1,9.41666666666667,14.2566666666667,4.06666666666667,2.61333333333333,7.21666666666667,5.67666666666667,13.7666666666667,6.13,5,5.94333333333333,17.0333333333333,7.42333333333333,6.11333333333333,7.83,10.1266666666667,7.57666666666667,3.42666666666667,62.62
Cyclodomorphus_venustus,95.002,26.692,61.97,12.67,7.52,6.85,9.674,13.476,4.28,2.216,6.78,7.172,13.266,4.984,5.262,5.618,17.236,7.358,6.204,7.73,13.216,6.98,6.34,84.6933333333333
Egernia_cunninghami,197.304,69.975,110.72,46.584,17.451,22.205,34.387,39.584,12.989,7.573,23.746,29.469,51.563,19.768,17.842,23.264,70.828,28.682,24.468,33.626,30.391,19.022,16.609,178.033333333333
Egernia_cygnitos,101.884,36.884,56.47,24.68,10.334,10.106,13.746,17.502,5.424,4.68,10.446,14.236,30.078,13.27,11.498,11.168,32.012,13.71,12.422,13.256,19.382,7.398,8.53,41.076
Egernia_depressa,100.518,41.162,53.582,26.778,10.11,13.184,17.086,18.68,6.41,4.446,12.562,16.274,28.226,11.104,11.108,10.928,34.318,14.882,11.708,15.02,22.482,7.824,5.774,37.154
Egernia_douglasi,165.44,57.2633333333333,91.1833333333333,41.38,17.8933333333333,19.89,26.04,29.5466666666667,8.39,7.25666666666667,18.4066666666667,23.3166666666667,42.7666666666667,18.3933333333333,15.7666666666667,13.7666666666667,57.6133333333333,25.6933333333333,19.75,22.2466666666667,27.7166666666667,13.9,16.9933333333333,182.09
Egernia_eos,100.972,34.428,59.242,26.546,10.054,11.496,15.712,17.926,6.02,4.558,12.066,16.388,29.064,13.212,11.1,11.06,34.54,14.254,12.786,14.746,16.502,7.348,7.302,40.208
Egernia_epsisolus,104.332,37.836,58.906,23.938,9.632,9.758,14.036,18.048,5.26,4.382,10.458,15.266,30.288,13.986,11.746,11.146,32.698,13.216,12.952,13.778,19.788,8.406,7.59,42.234
Egernia_formosa,117.794,42.766,66.632,25.468,11.62,12.838,17.52,22.034,6.214,5.096,12.614,15.206,29.672,12.658,10.906,11.7,40.662,16.078,13.72,18.59,20.732,10.724,8.396,125.013333333333
Egernia_hosmeri,140.813333333333,49.3833333333333,84.3633333333333,34.0433333333333,15.3733333333333,20.18,27.7566666666667,29.1533333333333,8.16666666666667,6.39333333333333,19.8766666666667,23.3533333333333,48.9366666666667,16.7933333333333,15.7733333333333,16.37,58.08,19.77,16.7666666666667,21.5433333333333,20.23,14.5933333333333,7.06666666666666,107.333333333333
Egernia_kingii,195.0975,72.64,110.7575,38.8675,18.04,24.7025,29.925,37.6025,10.8775,6.9375,22.4925,25.745,59.565,19.905,18.9375,23.3825,78.3175,25.545,23.26,33.7175,35.0375,19.7875,11.7,243.26
Egernia_mcpheei,93.074,38.014,52.216,18.08,8.618,8.75,14.774,20.814,6.524,3.864,10.168,11.75,27.73,9.746,9.594,12.672,36.324,13.01,12.27,17.092,17.2,10.426,2.844,84.08
Egernia_napoleonis,89.586,32.98,50.59,19.096,9.398,8.336,13.04,18.554,6.566,4.34,7.998,10.178,25.258,9.83,8.418,11.236,34.934,13.07,11.546,17.264,14.426,7.648,6.016,114.01
Egernia_pilbarensis,114.403333333333,44.5083333333333,60.1883333333333,24.5633333333333,11.125,12.7833333333333,18.225,23.3766666666667,7.02666666666667,5.24166666666667,12.0416666666667,14.6266666666667,30.5783333333333,13.7766666666667,12.3383333333333,10.3483333333333,41.1683333333333,17.5183333333333,14.9983333333333,16.225,21.1316666666667,11.1083333333333,9.70666666666667,163.69
Egernia_richardi,105.834,39.374,58.79,20.07,10.142,11.53,14.832,20.12,7.008,3.47,10.642,13.146,23.638,8.634,8.694,10.708,32.706,12.828,12.006,17.456,19.254,9.642,7.67000000000001,99.5366666666667
Egernia_rugosa,223.75,71.2825,125.4325,42.8225,22.8725,30.77,35.355,38.365,11.435,8.875,29.995,27.255,50.205,22.7825,21.515,18.825,72.2525,28.345,26.2725,26.795,32.9175,18.055,27.035,235.77
Egernia_s.stokesii,145.916666666667,51.1166666666667,82.3033333333333,37.7933333333333,19.485,17.895,22.905,26.045,7.65166666666667,5.63333333333333,17.255,23.3416666666667,47.475,16.6833333333333,14.1666666666667,16.625,55.7516666666667,18.2833333333333,16.9183333333333,20.55,25.0716666666667,12.76,12.4966666666667,59.94
Egernia_s.zellingi,161.684,53.842,96.906,41.788,16.486,22.394,28.478,27.544,9.522,5.312,20.944,29.018,51.696,16.27,17.242,18.184,61.634,21.838,18.89,20.906,26.298,12.71,10.936,65.562
Egernia_saxatilis,104.358,40.158,54.646,19.849,10.675,10.26,15.733,22.263,6.66,3.963,10.318,13.13,30.854,10.659,9.724,13.936,42.455,15.365,12.925,20.282,17.895,11.64,9.554,118.388888888889
Egernia_striolata,101.574,38.808,54.705,19.179,9.873,9.859,15.543,21.447,7.024,3.724,10.16,12.406,27.991,9.536,9.062,13.141,39.76,14.209,12.135,19.315,17.361,10.699,8.061,105.963
Liopholis_guthega,97.5,36,54.5,18.86,8.92,12.715,15.71,21.545,5.94,5.05,12.45,11.76,30.08,9.23,9.265,11.585,40.58,12.22,11.58,16.78,14.455,10.555,7,105
Liopholis_inornata,73.0991791044776,26.8614179104478,41.3182089552239,14.4128358208955,6.08835820895522,8.41813432835821,12.1613432835821,14.8473134328358,3.73223880597015,5.11828358208955,9.33880597014925,8.43634328358209,22.4058955223881,8.59246268656716,7.62567164179104,9.61373134328358,30.2408955223881,10.5829104477612,10.2894029850746,13.4860447761194,12.0141044776119,5.99679104477612,4.91955223880597,86.4005714285714
Liopholis_kintorei,179.456666666667,60.4936363636364,107.299696969697,37.1175757575758,13.9436363636364,24.5772727272727,28.8409090909091,33.0030303030303,7.77181818181818,9.08969696969697,24.6775757575758,24.6133333333333,51.6090909090909,21.5454545454545,18.5536363636364,19.6521212121212,61.4557575757576,25.4236363636364,23.8839393939394,25.6693939393939,27.4906060606061,16.1415151515152,11.6633333333333,187.543636363636
Liopholis_margaretae,96.5166666666667,37.3433333333333,54.3566666666667,18.4666666666667,7.54,9.9,14.5433333333333,19.47,6.19666666666667,4.44666666666667,10.34,11.3466666666667,25.82,8.28,9.22,10.8666666666667,37.37,13.3133333333333,11.6033333333333,16.5066666666667,17.8733333333333,8.82666666666667,4.81666666666666,81.41
Liopholis_modesta,99.8025,35.5675,54.2775,20.435,8.765,11.22,15.4125,20.1325,6.0275,5.1675,11.975,11.995,31.2225,10.04,9.6575,11.525,42.605,12.7825,11.865,17.9575,15.435,8.9375,9.9575,134.75
Liopholis_montana,96.045,36.125,53.9325,18.53,9.1125,10.61,14.35,20.055,6.0675,4.8675,10.915,10.825,29.18,10.1,9.23,12.07,42.165,13.6575,11.905,19.105,16.07,9.12,5.9875,144.36
Liopholis_multiscutata,86.805,32.875,49.3533333333333,16.685,8.26,10.03,13.5033333333333,17.74,5.64333333333333,4.41,10.3466666666667,10.1116666666667,24.0916666666667,7.20166666666667,8.60333333333333,11.3283333333333,34.92,12.3533333333333,11.8416666666667,16.2633333333333,15.135,7.68666666666667,4.57666666666666,123.436666666667
Liopholis_personata,98.056,38.766,53.402,20.312,7.846,10.924,15.598,21.032,6.564,5.08,11.662,11.782,26.556,8.098,9.764,12.24,40.454,16.728,11.81,19.84,17.734,9.388,5.888,146.412
Liopholis_pulchra,98.848,38.394,53.602,16.509,8.256,11.364,15.09,22.154,6.453,5.535,12.714,11.254,30.542,10.994,9.427,11.464,42.475,14.514,13.055,18.798,16.24,10.166,6.852,175.781111111111
Liopholis_slateri,76.6882432432432,27.3677027027027,44.5877027027027,15.102027027027,6.60594594594595,9.07148648648649,12.9435135135135,15.6467567567568,3.85891891891892,4.95337837837838,9.81621621621622,9.04513513513514,23.5963513513514,9.28459459459459,7.80959459459459,9.88851351351351,31.3072972972973,11.1995945945946,10.4506756756757,13.7952702702703,11.7209459459459,6.83445945945946,4.73283783783784,91.0728
Liopholis_sp.nov,67.086,27.422,34.672,12.16,5.89,8.144,12.308,15.304,3.986,4.004,9.754,7.648,24.432,8.236,7.412,8.784,31.452,10.01,9.338,12.104,12.118,7.314,4.992,88.3333333333333
Liopholis_sp.nov2,63.15,22.885,35.765,10.985,5.59,8.275,11.405,13.035,3.425,3.32,8.785,7.98,22.315,7.26,6.755,8.3,28.03,8.54,8.73,10.76,9.85,6.29,4.5,78
